time,latitude,longitude,accuracy,altitude,altitudeAccuracy,heading,speed
8:3:32:50,56.309722,44.076170,2.700000,178.3,0,323,8.123860359191895
8:3:32:717,56.309780,44.076092,3.900000,178.5,0,320,8.577845573425293
8:3:34:0,56.309838,44.076008,2.600000,178.4,0,323,8.538211822509766
8:3:34:666,56.309900,44.075933,2.600000,178.7,0,327,8.354455947875977
8:3:35:882,56.309962,44.075858,2.700000,178.7,0,326,8.23298168182373
8:3:36:684,56.310020,44.075780,2.700000,178.7,0,324,7.956576347351074
8:3:37:982,56.310080,44.075708,2.700000,178.8,0,326,8.1650390625
8:3:39:377,56.310143,44.075653,2.700000,178.9,0,328,7.991062641143799
8:3:40:762,56.310265,44.075528,3.900000,178.9,0,327,7.908707141876221
8:3:42:86,56.310323,44.075462,2.600000,178.8,0,325,7.922604560852051
8:3:42:781,56.310380,44.075390,2.600000,179,0,318,7.957090854644775
8:3:43:618,56.310437,44.075308,2.600000,179,0,320,8.167097091674805
8:3:44:859,56.310492,44.075228,3.900000,179.1,0,331,7.645683765411377
8:3:46:42,56.310545,44.075152,2.600000,179.3,0,323,7.512885570526123
8:3:46:888,56.310605,44.075082,2.600000,179.5,0,324,7.886059284210205
8:3:47:612,56.310665,44.075003,3.900000,179.4,0,322,8.241217613220215
8:3:48:185,56.310665,44.075003,2.600000,179.4,0,322,8.241217613220215
8:3:48:867,56.310723,44.074922,2.600000,179.5,0,322,8.258718490600586
8:3:50:92,56.310785,44.074845,2.600000,179.6,0,324,8.1614351272583
8:3:50:779,56.310847,44.074772,2.600000,179.6,0,326,8.414678573608398
8:3:52:66,56.310908,44.074692,2.600000,179.5,0,323,8.43475341796875
8:3:52:928,56.310970,44.074620,3.900000,179.8,0,324,8.267468452453613
8:3:53:670,56.311032,44.074542,3.700000,180,0,325,8.141361236572266
8:3:54:881,56.311097,44.074460,3.300000,180.1,0,325,8.229378700256348
8:3:56:320,56.311162,44.074377,3.100000,180.1,0,323,8.354455947875977
8:3:57:635,56.311288,44.074222,2.800000,180.3,0,324,8.278792381286621
8:3:58:961,56.311348,44.074148,3.900000,180.4,0,325,8.048711776733398
8:3:59:652,56.311408,44.074075,2.700000,180.5,0,324,8.152170181274414
8:4:0:942,56.311467,44.073998,3.900000,180.7,0,325,8.132096290588379
8:4:1:612,56.311528,44.073922,3.900000,180.8,0,324,8.265409469604492
8:4:2:866,56.311588,44.073840,2.600000,180.6,0,320,8.413134574890137
8:4:4:58,56.311648,44.073758,3.900000,180.7,0,323,8.414678573608398
8:4:4:678,56.311710,44.073682,2.500000,180.7,0,324,8.275703430175781
8:4:5:996,56.311770,44.073607,2.600000,180.7,0,324,8.371441841125488
8:4:6:640,56.311828,44.073528,2.600000,180.9,0,321,8.17790699005127
8:4:7:909,56.311890,44.073453,2.600000,180.9,0,325,8.488799095153809
8:4:8:662,56.311952,44.073373,2.600000,180.9,0,324,8.452253341674805
8:4:9:962,56.312013,44.073295,2.700000,180.9,0,324,8.468724250793457
8:4:10:660,56.312073,44.073208,3.900000,180.2,0,321,8.479534149169922
8:4:12:560,56.312192,44.073028,2.800000,180.2,0,317,8.748733520507812
8:4:13:878,56.312252,44.072950,2.800000,180.2,0,323,8.329750061035156
8:4:15:181,56.312313,44.072877,2.800000,179.9,0,324,8.296807289123535
8:4:15:846,56.312373,44.072797,2.800000,179.8,0,324,8.326661109924316
8:4:17:912,56.312492,44.072635,3.900000,179.7,0,323,8.411075592041016
8:4:19:203,56.312553,44.072562,2.900000,179.7,0,323,8.271586418151855
8:4:19:881,56.312615,44.072488,3.900000,179.6,0,324,8.550050735473633
8:4:21:295,56.312673,44.072405,3.000000,179.4,0,321,8.553138732910156
8:4:22:42,56.312735,44.072330,3.000000,179.4,0,324,8.528946876525879
8:4:22:785,56.312795,44.072255,3.000000,179.3,0,319,8.421884536743164
8:4:24:119,56.312860,44.072185,3.000000,179.3,0,326,8.571154594421387
8:4:24:817,56.312927,44.072120,4.400000,179.5,0,329,8.727115631103516
8:4:26:330,56.312988,44.072057,4.000000,179.3,0,329,8.463577270507812
8:4:27:710,56.313140,44.072003,3.900000,177.8,0,337,8.50269603729248
8:4:27:739,56.313140,44.072003,3.500000,177.8,0,337,8.50269603729248
8:4:29:119,56.313212,44.071960,3.400000,177,0,339,8.476445198059082
8:4:29:819,56.313282,44.071910,3.900000,175.8,0,337,8.291145324707031
8:4:31:122,56.313355,44.071868,3.000000,174.4,0,340,8.150626182556152
8:4:31:998,56.313422,44.071825,2.900000,173.4,0,342,7.893265247344971
8:4:32:754,56.313487,44.071785,3.900000,172.8,0,340,7.466560363769531
8:4:33:981,56.313553,44.071752,2.700000,172,0,344,8.127464294433594
8:4:34:680,56.313622,44.071720,3.900000,171.5,0,345,7.982312202453613
8:4:35:933,56.313688,44.071692,2.700000,171.3,0,346,7.705391883850098
8:4:36:621,56.313755,44.071663,3.900000,170.8,0,347,7.679141044616699
8:4:38:78,56.313823,44.071635,2.500000,169.9,0,349,7.911795139312744
8:4:38:831,56.313895,44.071605,2.500000,169.5,0,346,7.8927507400512695
8:4:40:87,56.313962,44.071570,2.500000,169.1,0,346,7.489208221435547
8:4:40:831,56.314032,44.071540,2.500000,168.7,0,349,7.6662726402282715
8:4:42:150,56.314100,44.071517,2.500000,168.7,0,348,7.645683765411377
8:4:42:866,56.314167,44.071483,2.600000,168.3,0,342,7.6271538734436035
8:4:43:608,56.314238,44.071448,2.600000,168.2,0,346,7.988488674163818
8:4:45:725,56.314378,44.071398,2.700000,168,0,349,8.070844650268555
8:4:47:58,56.314450,44.071378,3.900000,167.7,0,352,8.046652793884277
8:4:47:774,56.314520,44.071362,2.800000,167.2,0,350,7.875764846801758
8:4:49:40,56.314590,44.071343,2.800000,166.8,0,351,8.048196792602539
8:4:49:898,56.314668,44.071338,2.800000,166.2,0,351,8.226290702819824
8:4:50:737,56.314738,44.071312,2.800000,166,0,342,8.13672924041748
8:4:52:8,56.314813,44.071298,2.900000,166,0,358,8.593802452087402
8:4:52:715,56.314882,44.071277,2.900000,165.9,0,354,8.154229164123535
8:4:54:16,56.314955,44.071258,3.000000,165.9,0,355,8.33541202545166
8:4:54:697,56.315033,44.071242,3.100000,165.4,0,351,8.550050735473633
8:4:56:54,56.315118,44.071233,4.600000,164.3,0,350,8.949475288391113
8:4:56:819,56.315177,44.071172,4.300000,164.1,0,347,8.422914505004883
8:4:58:130,56.315252,44.071152,4.000000,163.5,0,350,9.091538429260254
8:4:58:860,56.315348,44.071155,3.500000,161.7,0,347,9.235146522521973
8:5:1:99,56.315528,44.071058,3.900000,159.4,0,345,10.072599411010742
8:5:1:894,56.315625,44.071005,3.000000,157.7,0,343,10.105026245117188
8:5:2:634,56.315717,44.070952,2.900000,155.2,0,340,9.731338500976562
8:5:3:888,56.315802,44.070890,3.900000,153.8,0,338,9.695307731628418
8:5:4:634,56.315880,44.070825,2.800000,153.3,0,332,9.56920051574707
8:5:6:168,56.315958,44.070753,2.700000,153.4,0,328,9.403460502624512
8:5:6:816,56.316030,44.070675,2.700000,152.8,0,325,9.411181449890137
8:5:8:788,56.316160,44.070492,3.900000,151.3,0,318,9.04058074951171
8:5:8:806,56.316160,44.070492,2.600000,151.3,0,318,9.040580749511719
8:5:10:375,56.316217,44.070392,2.500000,151.4,0,316,8.87175178527832
