time,x,y,z
13:28:28:370,0.46,-5.24,8.33
13:28:28:439,1.65,0.88,6.04
13:28:28:517,-11.26,15.27,18.1
13:28:28:673,0.68,1.5,6.87
13:28:28:814,-0.2,9.2,3.14
13:28:28:919,0.38,5.06,6.92
13:28:28:974,0.53,-3.33,11.9
13:28:29:57,0.55,1.89,7.85
13:28:29:112,2.49,0.26,9.82
13:28:29:163,2.49,0.26,9.82
13:28:29:232,1.24,-0.89,10.31
13:28:29:366,-1.44,-0.13,10.09
13:28:29:468,-1.02,0.28,10.52
13:28:29:534,-1.56,0.55,10.06
13:28:29:592,-0.09,6.58,9.89
13:28:29:661,-0.65,-1.56,9.05
13:28:29:753,-3.32,-6.68,5.07
13:28:29:804,4.32,-1.33,9.78
13:28:29:960,1.9,-1,12.88
13:28:30:98,-0.16,-0.09,10.7
13:28:30:159,-0.16,-0.09,10.7
13:28:30:373,-1.05,0.25,10.54
13:28:30:468,0.11,0.27,9.7
13:28:30:571,-0.08,0.09,10.06
13:28:30:730,0.43,0.56,9.71
13:28:30:838,-0.34,0.42,10.31
13:28:30:922,-0.71,0.74,10.28
13:28:31:31,-0.61,0.62,9.57
13:28:31:119,-0.26,0.93,9.6
13:28:31:229,-1.19,2.15,9.95
13:28:31:287,-1.19,2.15,9.95
13:28:31:406,1.01,-1.73,11.12
13:28:31:523,0.1,0.83,10.41
13:28:31:631,-0.94,1.8,8.45
13:28:31:688,0,2.79,8.93
13:28:31:790,-0.03,-7.37,18.83
13:28:31:835,0.96,0.8,5.58
13:28:31:984,-0.27,2.51,10.34
13:28:32:106,-1.7,0.94,9.79
13:28:32:398,-0.76,0.32,10.78
13:28:32:520,-0.39,0.01,10.31
13:28:32:652,0.12,-0.22,10.87
13:28:32:752,1.86,-0.44,9.95
13:28:32:875,2.28,3.7,10.89
13:28:32:989,3.38,-6.08,11.13
13:28:33:29,3.25,1.63,9.47
13:28:33:78,3.25,1.63,9.47
13:28:33:113,2.51,-2.75,8.39
13:28:33:201,-0.32,1.24,6.73
13:28:33:297,5.07,-5.2,4.62
13:28:33:346,-1.84,8.16,9.08
13:28:33:545,2.98,0.65,7.59
13:28:33:681,2.28,6.48,1.48
13:28:33:753,-0.5,-1.92,11.3
13:28:33:794,1.52,1.31,7.06
13:28:33:941,3.28,-2.78,12.23
13:28:33:994,12.75,9.41,-2.11
13:28:34:69,0.11,-5.95,15.93
13:28:34:125,0.24,-0.72,12.9
13:28:34:246,0.25,1.9,12.24
13:28:34:450,0.03,-0.8,12.34
13:28:34:603,-0.34,0.77,10.31
13:28:34:667,-0.67,-3.82,11.47
13:28:34:818,2.22,-6.75,11.43
13:28:34:910,0.52,-4.63,5.53
13:28:35:17,1.29,-16.37,11.45
13:28:35:215,-2.65,4.28,14.26
13:28:35:304,8.05,-4.35,10.98
13:28:35:391,-1.51,6.02,11.11
13:28:35:491,-1.52,2.9,7.97
13:28:35:544,-1.43,1.81,10.95
13:28:35:679,1.18,-1.65,11.76
13:28:35:732,1.18,-1.65,11.76
13:28:35:907,0.56,-1.77,11.82
13:28:36:94,-0.18,4.86,9.63
13:28:36:224,4.39,2.19,9.82
13:28:36:376,-0.24,0.54,9.23
13:28:36:492,0.21,-2.3,7.33
13:28:36:631,0.68,-3.94,9.47
13:28:36:684,0.68,-3.94,9.47
13:28:36:814,1.42,6.65,5.47
13:28:36:886,0.79,-1.43,8.67
13:28:37:14,-0.41,-0.39,12.39
13:28:37:48,1.7,-5.58,8.86
13:28:37:180,-2.22,-5.32,18.44
13:28:37:242,-2.22,-5.32,18.44
13:28:37:295,0.13,-4.92,10.06
13:28:37:356,1.45,2.15,7.25
13:28:37:412,1.48,3.48,7.05
13:28:37:537,0.93,-5.53,8.84
13:28:37:665,2.22,0.86,11.6
